toxic_words,keita_kurita_paper
anal,1
anus,
arse,1
assholes,1
arsehole,1
asses,1
asinine,1
ass,1
asshole,
balls,
ballsack,
bastards,1
bastard,1
biatch,1
bitch,
bitched,
bitches,1
bitching,
bloody,
blowjob,
bollock,
bollok,
bonehead,
boner,
boob,
braindead,
bugger,
bullshit,
bum,
buffoons,1
buffoon,1
bummer,
butt,
buttplug,
clitoris,
cock,
cocks,
cursed,1
coon,
coward,1
crap,
cretin,1
crappy,
clowns,1
cunt,
daemon,1
damn,
damned,1
darn,1
deamon,
devil,
devils,
dimwit,1
dork,1
disgusting,1
dick,
dickhead,
dildo,
daft,1
douche,
dumber,1
dumbed,1
dumb,1
dumbass,1
foolish,1
fool,1
fag,1
fanny,
fart,
feck,
fellatio,1
fuck,
fucked,1
fucker,
fucking,
ghetto,
garbage,1
goddamn,
goofy,
heck,
hell,
homo,1
hooker,1
horrible,1
horribly,1
hypocrites,1
hypocritical,1
hypocrite,1
idiot,1
idiotic,1
idiots,1
imbecilic,1
ignorant,1
imbeciles,1
jackass,
jerk,1
losers,1
loser,1
liar,1
unatics,1
ludicrous,
moron,
morons,
motherfucker,
nitwit,1
nigga,1
nigger,
niggle,
omfg,1
penis,
pigs,1
pig,
piss,1
pissing,1
poop,
prick,
parasites,1
prostitute,
pussies,1
pussy,
retarded,1
ridiculous,1
rubbish,1
scumbag,
screw,1
scumbags,1
schmucks,1
screwed,
screwing,
schmuck,1
scrotum,
shame,1
shameless,1
ugly,
shit,
shits,
shitty,1
shut,1
silly,1
slut,1
slutty,
spank,
stupider,1
stupid,
stupidity,1
stupidly,1
suck,
sucked,1
suckers,
sucker,1
sucking,
sucks,
troll,1
tit,
testicles,1
turd,
twat,
unfuck,1
vagina,
wank,
whack,1
whores,
whore,
wtf,
yuck,
masturbation,1
,92
